ms,ax_g,ay_g,az_g,a_norm_g,gx_dps,gy_dps,gz_dps,roll_acc_deg,pitch_acc_deg,roll_cf_deg,pitch_cf_deg,p_filt_dps,q_filt_dps,u_roll_deg,u_pitch_deg,left_cmd_deg,right_cmd_deg,left_servo_deg,right_servo_deg,left_pwm,right_pwm
14,-0.029419,-0.037476,1.017212,1.018327,-0.793457,0.915527,2.197266,-2.110,1.655,-2.371,1.990,-0.002,1.190,-2.457,-2.066,-2.488,0.215,87.60,90.21,1527,1502
73,-0.020142,-0.008911,1.040161,1.040394,-1.892090,-4.760742,2.685547,-0.491,1.109,-2.197,2.126,-0.374,1.132,-2.280,-2.212,-4.514,0.071,85.49,90.07,1550,1501
123,-0.005371,0.002319,1.043945,1.043962,-1.037598,-5.065918,1.770020,0.127,0.295,-2.002,2.027,-0.589,0.049,-2.078,-2.078,-4.219,0.011,85.78,90.01,1547,1500
173,-0.069092,0.002319,0.971558,0.974014,2.319336,6.225586,0.732422,0.137,4.068,-1.780,2.175,1.379,5.767,-1.731,-2.544,-4.214,-0.618,85.79,89.38,1547,1493
223,-0.064575,0.030762,0.989014,0.991597,3.112793,2.807617,3.112793,1.782,3.734,-1.336,2.719,3.379,8.066,-1.124,-3.280,-4.410,-1.963,85.59,88.04,1549,1478
264,-0.134766,-0.024658,0.999878,1.009220,5.981445,22.155762,11.779785,-1.413,7.674,-1.090,3.487,4.098,26.267,-0.809,-5.217,-5.689,-3.949,84.31,86.05,1563,1456
323,-0.069824,-0.041138,1.031372,1.034551,1.586914,-16.540527,7.141113,-2.284,3.870,-0.646,4.150,4.602,-1.163,-0.291,-4.387,-4.825,-4.229,85.17,85.77,1554,1453
373,-0.027100,-0.034546,1.026855,1.027794,2.929688,7.995605,6.286621,-1.927,1.511,-0.584,3.835,4.241,3.492,-0.244,-4.234,-4.427,-3.923,85.57,86.08,1549,1456
423,-0.065796,0.005859,1.007202,1.009366,3.356934,-5.493164,4.333496,0.333,3.737,-0.389,4.066,3.740,3.981,-0.061,-4.517,-4.632,-4.418,85.37,85.58,1551,1451
473,-0.026733,0.036621,1.017944,1.018954,3.540039,4.150391,-0.671387,2.060,1.503,-0.032,3.925,3.978,2.453,0.231,-4.271,-4.058,-4.463,85.94,85.54,1545,1450
514,-0.046265,0.063721,1.002197,1.005286,2.075195,-3.662109,-1.831055,3.638,2.638,0.393,3.947,3.573,2.679,0.488,-4.309,-3.907,-4.734,86.09,85.27,1543,1447
573,-0.066650,0.065552,0.983765,0.988196,-1.586914,-2.014160,-3.356934,3.812,3.867,0.867,3.992,0.876,2.890,0.848,-4.371,-3.538,-5.152,86.46,84.85,1539,1443
623,-0.055908,0.037720,0.996582,0.998861,-2.380371,0.549316,-7.202148,2.168,3.209,1.018,4.066,-0.626,2.790,0.938,-4.446,-3.483,-5.346,86.52,84.65,1539,1441
