ms,ax_g,ay_g,az_g,a_norm_g,gx_dps,gy_dps,gz_dps,roll_acc_deg,pitch_acc_deg,roll_cf_deg,pitch_cf_deg,p_filt_dps,q_filt_dps,u_roll_deg,u_pitch_deg,left_cmd_deg,right_cmd_deg,left_servo_deg,right_servo_deg,left_pwm,right_pwm
14,0.692871,-0.191162,0.715332,1.014058,15.502930,22.766113,-1.281738,-14.962,-43.099,-14.789,-43.584,3.622,6.598,-16.024,47.112,17.099,33.000,92.40,92.40,1473,1527
73,0.597412,-0.108154,0.816650,1.017603,21.179199,31.738281,-12.512207,-7.544,-35.950,-13.114,-41.710,18.686,32.986,-10.270,40.804,30.481,52.218,106.80,106.80,1313,1687
123,0.619629,-0.067505,0.866943,1.067749,5.920410,28.381348,-17.639160,-4.452,-35.473,-10.875,-39.601,11.888,34.998,-7.840,39.253,31.889,47.039,118.80,118.80,1180,1820
173,0.565430,-0.094971,0.804932,0.988254,2.502441,-13.366699,-18.371582,-6.729,-34.900,-9.366,-37.898,6.683,16.048,-8.450,39.130,30.219,47.248,120.22,130.80,1164,1953
223,0.629883,-0.021362,0.751465,0.980769,1.831055,-22.399902,-15.869141,-1.628,-39.959,-8.150,-37.949,3.529,-7.922,-4.659,43.242,36.837,47.894,126.84,137.89,1091,2032
265,0.683350,-0.029785,0.728516,0.999294,3.479004,13.488770,-9.216309,-2.341,-43.144,-7.213,-38.447,2.800,3.056,-4.335,45.169,40.447,49.101,130.45,139.10,1051,2046
323,0.641235,0.009277,0.800537,1.025733,-6.225586,46.264648,-10.986328,0.664,-38.693,-5.907,-37.520,0.377,35.157,-2.531,39.733,37.638,43.443,127.64,133.44,1082,1983
373,0.538696,-0.023804,0.909668,1.057476,-0.671387,41.259766,-10.925293,-1.499,-30.625,-5.125,-34.982,-2.441,49.347,-4.162,33.653,30.364,38.436,120.36,128.44,1163,1927
423,0.516968,-0.003296,0.902466,1.040053,-3.112793,17.272949,-11.169434,-0.209,-29.806,-4.458,-32.602,-1.055,36.116,-3.169,32.508,29.278,36.138,119.28,126.14,1175,1902
473,0.524414,-0.051147,0.934448,1.072763,-10.314941,-6.103516,-10.803223,-3.133,-29.265,-4.027,-31.149,-7.222,16.350,-4.369,32.470,28.546,36.331,118.55,126.33,1183,1904
