ms,ax_g,ay_g,az_g,a_norm_g,gx_dps,gy_dps,gz_dps,roll_acc_deg,pitch_acc_deg,roll_cf_deg,pitch_cf_deg,p_filt_dps,q_filt_dps,u_roll_deg,u_pitch_deg,left_cmd_deg,right_cmd_deg,left_servo_deg,right_servo_deg,left_pwm,right_pwm
13,-0.210327,-0.011108,0.927002,0.950628,-18.981934,-57.495117,2.136230,-0.687,12.783,0.063,11.839,-4.935,-11.082,-0.288,-12.266,-6.905,-6.587,87.60,87.60,1527,1473
64,-0.044434,-0.023804,1.029297,1.030530,-28.137207,-80.078125,0.854492,-1.325,2.471,-1.044,9.920,-22.707,-52.561,-2.351,-7.651,-10.417,-6.375,79.58,83.63,1616,1429
123,-0.000366,-0.176880,0.934448,0.951042,-44.128418,45.471191,-0.427246,-10.719,0.022,-3.116,7.385,-33.524,-1.664,-5.280,-7.916,-12.266,-2.784,77.73,87.22,1636,1469
173,-0.189209,-0.145874,1.035034,1.062250,-23.986816,41.076660,3.967285,-8.022,10.260,-5.640,8.532,-39.943,38.862,-8.442,-11.523,-19.092,-2.912,70.91,87.09,1712,1468
223,-0.234375,-0.092041,0.903564,0.937994,4.333496,-4.638672,9.582520,-5.816,14.470,-6.601,10.426,-16.645,21.273,-8.059,-12.767,-20.774,-4.497,69.23,85.50,1731,1450
265,-0.163574,-0.116577,1.033325,1.052667,18.920898,-60.974121,11.779785,-6.437,8.939,-6.649,10.426,2.392,-16.979,-7.026,-10.341,-18.136,-3.670,71.86,86.33,1702,1459
323,-0.103027,-0.044434,1.051270,1.057240,26.123047,-31.799316,4.028320,-2.420,5.592,-5.752,8.132,16.631,-32.568,-5.186,-6.883,-12.648,-1.701,77.35,88.30,1641,1481
373,-0.115723,0.021118,1.004517,1.011381,31.250000,-51.940918,-7.324219,1.204,6.570,-4.063,6.472,25.337,-36.148,-2.805,-4.843,-8.421,-2.065,81.58,87.94,1594,1477
423,-0.077881,0.128174,0.976929,0.988374,35.827637,-63.476562,-9.033203,7.475,4.519,-1.990,4.172,30.552,-50.552,-0.213,-1.447,-2.661,-1.323,87.34,88.68,1530,1485
473,-0.017822,0.112671,0.974609,0.981262,2.441406,-60.180664,-2.258301,6.594,1.041,0.157,1.647,13.722,-51.341,0.836,1.377,1.758,0.044,91.76,90.04,1480,1500
514,0.131348,0.108398,1.101196,1.114287,7.751465,-38.635254,2.441406,5.622,-6.770,0.600,-0.459,4.719,-41.813,0.784,2.819,3.315,1.853,93.32,91.85,1463,1521
573,0.010132,0.128296,1.050903,1.058754,10.009766,-24.169922,5.310059,6.960,-0.548,1.881,-2.339,3.836,-19.016,2.140,3.520,5.441,1.463,95.44,91.46,1440,1516
623,0.096069,0.070557,1.000610,1.007685,4.943848,-54.748535,0.732422,4.033,-5.471,2.535,-3.598,5.452,-31.923,2.957,5.679,8.127,2.341,98.13,92.34,1410,1526
673,0.293457,0.126831,1.189575,1.231784,-14.099121,-68.725586,-3.967285,6.086,-13.783,2.480,-6.027,-8.249,-51.970,2.089,9.554,11.207,6.668,101.21,96.67,1375,1574
725,0.255615,0.071289,0.957031,0.993142,-12.145996,20.568848,-7.080078,4.260,-14.915,2.171,-8.441,-11.044,-17.254,1.714,10.535,12.702,9.024,102.70,99.02,1359,1600
773,0.109009,0.073364,1.032227,1.040556,-14.892578,25.085449,-5.126953,4.065,-6.013,1.573,-7.878,-17.931,24.708,0.511,7.075,8.179,6.890,98.18,96.89,1409,1577
823,0.123047,0.028442,1.027466,1.035198,-9.338379,22.644043,0.427246,1.586,-6.826,0.841,-6.577,-16.060,28.652,-0.182,5.408,5.587,5.755,95.59,95.75,1438,1564
873,0.079590,-0.046021,1.091309,1.095174,-1.525879,2.685547,8.300781,-2.415,-4.168,0.146,-5.233,-10.116,23.892,-0.590,4.215,3.819,4.828,93.82,94.83,1458,1554
923,0.139160,-0.068359,1.041382,1.052860,12.878418,-15.502930,12.634277,-3.756,-7.595,-0.400,-4.902,1.719,2.830,-0.193,5.114,4.717,5.186,94.72,95.19,1448,1558
964,0.060181,-0.065430,1.013794,1.017684,20.568848,-42.541504,9.338379,-3.693,-3.390,-0.408,-5.208,11.492,-14.866,0.384,6.427,6.366,5.842,96.37,95.84,1429,1565
1023,0.213623,-0.001343,0.915405,0.940002,24.780273,-38.757324,4.516602,-0.084,-13.136,0.384,-7.307,20.025,-32.752,1.453,9.952,10.752,8.169,100.75,98.17,1381,1591
1073,0.259399,-0.030151,1.023071,1.055875,24.230957,-16.235352,5.554199,-1.688,-14.222,1.013,-9.063,16.971,-19.394,1.844,11.187,12.736,9.200,102.74,99.20,1358,1602
1123,0.142700,-0.018066,0.865112,0.876989,-21.423340,31.188965,13.000488,-1.196,-9.365,1.466,-9.259,1.914,16.360,1.569,9.095,11.392,7.711,101.39,97.71,1373,1586
1173,0.116333,-0.042358,0.942749,0.950843,5.249023,-29.296875,14.526367,-2.573,-7.028,0.671,-8.286,-2.675,8.380,0.434,8.504,8.904,7.850,98.90,97.85,1401,1587
1214,0.260254,0.050171,1.028809,1.062401,11.962891,-39.062500,21.423340,2.792,-14.180,0.712,-8.870,4.122,-15.867,0.969,10.765,11.054,9.399,101.05,99.40,1377,1604
1273,0.311035,-0.004272,1.040527,1.086029,3.356934,-2.563477,25.024414,-0.235,-16.642,0.865,-10.705,3.117,-6.269,0.869,12.554,13.723,11.774,103.72,101.77,1348,1631
1323,0.315430,0.095337,0.980225,1.034130,2.624512,7.141113,24.047852,5.555,-17.759,0.903,-11.289,0.260,6.163,1.431,12.747,14.065,11.470,104.06,101.47,1344,1627
1373,0.267822,0.012939,1.007324,1.042400,-14.282227,15.502930,16.967773,0.736,-14.888,0.715,-11.311,-9.701,15.978,0.063,11.599,12.371,11.561,102.37,101.56,1363,1628
1415,0.193481,0.053955,0.927979,0.949468,-19.165039,28.869629,8.422852,3.328,-11.758,0.120,-10.603,-12.783,25.599,-0.759,10.019,9.769,10.955,99.77,100.95,1391,1622
1473,0.105347,0.035767,0.976929,0.983243,-9.216309,23.620605,-0.915527,2.097,-6.151,-0.758,-8.444,-16.141,33.939,-1.643,7.144,5.922,9.063,95.92,99.06,1434,1601
1523,0.112427,0.051636,0.989746,0.997448,-23.254395,11.596680,-7.934570,2.986,-6.472,-1.151,-7.018,-21.719,24.585,-2.410,6.136,4.044,8.531,94.04,98.53,1455,1595
1573,0.221680,0.191895,0.943848,0.988339,-22.033691,30.151367,-12.573242,11.492,-12.961,-1.204,-6.059,-20.423,26.670,-2.127,5.100,3.004,7.513,93.00,97.51,1467,1583
1623,-0.033325,0.090332,0.931885,0.936846,-28.747559,5.554199,-6.225586,5.537,2.039,-1.964,-4.401,-30.852,27.697,-3.853,3.071,-0.333,6.964,89.67,96.96,1504,1577
1664,0.158325,0.120361,0.872437,0.894818,-53.955078,-5.310059,6.103516,7.855,-10.191,-2.336,-4.176,-39.376,8.802,-4.774,3.958,-0.684,8.275,89.32,98.28,1508,1592
1723,0.120117,-0.105835,1.035889,1.048186,-46.142578,41.625977,9.521484,-5.834,-6.580,-5.505,-3.286,-50.278,38.358,-8.913,1.204,-6.815,10.107,83.18,100.11,1576,1612
1773,0.017212,-0.309814,1.019653,1.065821,-47.790527,8.728027,3.723145,-16.901,-0.925,-8.823,-1.545,-58.528,30.602,-13.915,-0.311,-13.103,12.836,76.90,102.84,1646,1643
1823,0.088257,-0.252075,0.955200,0.991836,-52.185059,53.466797,-1.953125,-14.783,-5.105,-12.349,-0.562,-58.938,39.970,-17.108,-1.615,-17.672,15.724,72.33,105.72,1696,1675
1875,-0.103149,-0.410278,1.033447,1.116683,-62.866211,75.256348,-20.202637,-21.653,5.300,-15.931,2.231,-70.473,74.986,-22.790,-7.401,-27.708,15.380,62.93,105.38,1801,1671
1914,-0.071899,-0.624878,1.099243,1.266482,-68.054199,-3.906250,-18.615723,-29.617,3.254,-19.970,4.511,-70.284,38.802,-26.025,-7.096,-37.505,21.186,53.33,111.19,1907,1735
1973,0.042725,-0.663452,1.144043,1.323189,-63.659668,31.066895,-41.992187,-30.110,-1.850,-24.377,4.881,-71.883,18.865,-30.969,-6.307,-36.464,24.229,53.54,114.23,1905,1769
2023,0.016113,-0.544067,1.123901,1.248769,-52.795410,77.880859,-64.575195,-25.831,-0.739,-27.919,5.843,-62.665,57.484,-34.312,-9.682,-42.841,24.678,47.16,114.68,1976,1774
2073,-0.133545,-0.448120,0.809570,0.934906,-83.801270,42.541504,-62.133789,-28.966,8.212,-31.476,7.180,-71.370,61.397,-37.824,-11.767,-48.742,25.496,41.26,115.50,2042,1783
2115,-0.181030,-0.466431,0.789062,0.934317,-77.026367,-11.840820,-52.673340,-30.588,11.172,-34.823,7.315,-77.163,27.026,-41.071,-11.027,-51.842,30.326,38.16,120.33,2076,1837
2173,0.040405,-0.340454,0.750122,0.824757,-53.833008,-35.583496,-23.864746,-24.412,-2.808,-38.558,5.328,-69.796,-16.142,-42.638,-2.596,-46.436,38.723,43.56,128.72,2016,1930
2223,0.016846,-0.783325,0.905396,1.197340,-45.227051,63.720703,-12.634277,-40.866,-0.806,-41.312,3.679,-59.173,22.188,-48.834,-5.184,-49.927,45.290,42.67,135.29,2026,2003
