ms,ax_g,ay_g,az_g,a_norm_g,gx_dps,gy_dps,gz_dps,roll_acc_deg,pitch_acc_deg,roll_cf_deg,pitch_cf_deg,p_filt_dps,q_filt_dps,u_roll_deg,u_pitch_deg,left_cmd_deg,right_cmd_deg,left_servo_deg,right_servo_deg,left_pwm,right_pwm
14,-0.222778,-0.043091,0.916504,0.944175,-3.234863,15.258789,-26.550293,-2.692,13.648,1.579,14.751,-0.556,3.209,-1.408,-16.185,-9.676,-8.127,87.60,87.60,1513,1487
72,-0.169556,-0.008301,0.970459,0.985195,0.427246,-1.708984,-27.526855,-0.490,9.910,0.895,14.682,0.034,4.723,-0.834,-16.239,-16.926,-15.130,75.06,75.06,1583,1417
124,-0.332153,-0.032471,0.927979,0.986166,1.770020,15.380859,-28.808594,-2.004,19.683,0.531,15.951,2.985,22.671,-0.182,-19.333,-19.065,-18.355,70.94,71.64,1606,1398
167,-0.194092,-0.049805,1.041382,1.060485,-4.699707,-0.854492,-26.184082,-2.738,10.546,0.162,16.202,1.670,10.735,-0.119,-18.272,-18.670,-18.204,71.33,71.80,1604,1399
215,-0.217285,-0.033325,0.926392,0.952116,-4.455566,-22.399902,-31.311035,-2.060,13.192,-0.243,16.171,0.078,-6.523,0.163,-17.212,-17.436,-17.594,72.56,72.41,1597,1402
274,-0.157227,0.011353,1.024658,1.036713,4.943848,17.333984,-34.912109,0.635,8.723,-0.859,15.329,2.359,1.777,0.660,-16.775,-16.164,-17.426,73.84,72.57,1590,1403
320,-0.171265,0.034790,1.064087,1.078343,0.366211,1.770020,-32.958984,1.873,9.139,-0.788,15.151,1.906,1.012,0.609,-16.532,-16.036,-17.174,73.96,72.83,1589,1405
368,-0.185425,-0.052002,0.966187,0.985192,-0.061035,6.286621,-29.663086,-3.081,10.848,-1.176,14.827,1.493,1.182,1.060,-16.186,-15.294,-17.220,74.71,72.78,1585,1404
416,-0.125854,-0.037476,1.087524,1.095424,-1.770020,4.821777,-27.038574,-1.974,6.597,-1.570,14.258,-0.823,-0.446,1.618,-15.533,-14.143,-17.187,75.86,72.81,1579,1405
474,-0.214966,0.035278,0.932617,0.957721,1.098633,15.197754,-25.329590,2.166,12.971,-1.755,14.138,0.932,7.697,1.648,-15.795,-14.006,-17.408,75.99,72.59,1578,1403
520,-0.167969,-0.112305,1.066895,1.085859,-4.577637,14.465332,-20.324707,-6.009,8.899,-2.264,14.198,-2.067,10.239,2.455,-16.038,-13.702,-18.296,76.30,71.70,1576,1398
568,-0.242798,0.042725,1.020752,1.050100,2.075195,-19.165039,-16.479492,2.397,13.369,-2.191,14.289,-0.057,-3.350,2.123,-15.381,-13.406,-17.730,76.59,72.27,1574,1402
621,-0.126953,-0.065552,1.007690,1.017769,-4.211426,-60.119629,-10.375977,-3.722,7.166,-2.471,13.218,-0.815,-15.987,2.608,-13.472,-12.008,-16.822,77.99,73.18,1567,1407
674,-0.052979,-0.067871,1.156616,1.159817,-2.197266,-49.133301,-9.277344,-3.358,2.618,-2.725,10.889,-1.336,-40.686,2.919,-9.429,-7.283,-13.013,82.72,76.99,1540,1428
721,0.010864,-0.083740,1.046021,1.049423,-1.403809,-12.634277,-9.338379,-4.577,-0.593,-2.907,8.941,-0.525,-29.283,3.071,-7.970,-5.233,-11.292,84.77,78.71,1529,1437
774,0.008179,-0.052246,1.023193,1.024559,-1.892090,11.962891,-14.221191,-2.923,-0.457,-2.971,7.164,-0.402,-14.236,3.133,-6.918,-3.883,-10.127,86.12,79.87,1522,1444
816,-0.073608,-0.035400,1.023193,1.026448,6.713867,29.541016,-8.850098,-1.982,4.112,-2.982,6.808,2.994,5.399,2.957,-7.619,-4.418,-10.448,85.58,79.55,1525,1442
864,-0.080078,-0.039673,1.002808,1.006782,1.220703,15.258789,-5.371094,-2.266,4.562,-2.930,6.978,2.885,8.442,2.907,-7.988,-4.949,-10.810,85.05,79.19,1527,1440
924,-0.029907,-0.073975,1.091309,1.094222,6.835937,3.234863,-0.427246,-3.878,1.566,-2.655,7.015,5.147,1.346,2.468,-7.603,-5.150,-10.223,84.85,79.78,1529,1443
969,-0.105469,-0.119751,0.961426,0.974579,7.324219,15.625000,-1.098633,-7.100,6.213,-2.701,7.016,6.360,5.929,2.446,-7.879,-5.342,-10.233,84.66,79.77,1530,1443
1017,-0.137085,-0.066406,1.035522,1.046666,12.145996,27.587891,-2.929688,-3.669,7.526,-2.397,7.562,9.501,15.214,1.923,-9.036,-6.730,-10.791,83.27,79.21,1537,1440
1065,-0.171387,-0.076660,1.035034,1.051925,4.638672,31.616211,-0.976562,-4.236,9.377,-2.113,8.483,8.467,21.958,1.673,-10.454,-8.455,-11.837,81.55,78.16,1547,1434
1122,-0.188232,-0.006958,1.009277,1.026704,12.756348,6.164551,3.845215,-0.395,10.564,-1.475,9.589,11.670,14.246,0.779,-11.208,-10.204,-12.075,79.80,77.92,1557,1433
1169,-0.209839,-0.042969,0.992065,1.014925,10.803223,14.526367,8.300781,-2.480,11.932,-0.959,10.298,11.847,13.565,0.200,-11.947,-11.484,-12.103,78.52,77.90,1564,1433
1222,-0.205933,-0.039307,1.008545,1.030105,7.263184,22.766113,11.779785,-2.232,11.532,-0.252,11.219,10.995,15.441,-0.526,-13.073,-12.647,-12.347,77.35,77.65,1570,1431
1265,-0.177734,-0.018311,1.012329,1.027976,8.728027,13.732910,13.793945,-1.036,9.956,0.291,11.779,9.245,12.469,-0.715,-13.511,-14.037,-12.758,75.96,77.24,1578,1429
1322,-0.226807,0.041382,1.044434,1.069577,1.647949,4.028320,19.531250,2.269,12.243,0.896,12.405,6.295,8.156,-1.212,-13.940,-15.077,-12.786,74.92,77.21,1584,1429
1374,-0.274902,0.072754,1.026855,1.065503,-4.028320,17.395020,23.437500,4.053,14.952,1.520,13.124,1.794,13.092,-1.783,-15.144,-16.630,-13.233,73.37,76.77,1592,1426
1418,-0.334106,0.142456,1.025513,1.087932,-11.901855,19.042969,33.386230,7.908,17.885,2.153,13.923,-4.570,19.634,-2.684,-16.804,-18.949,-13.857,71.05,76.14,1605,1423
1465,-0.355225,0.191650,0.984375,1.063912,-26.855469,-13.244629,43.273926,11.017,19.505,2.565,14.680,-13.238,4.130,-3.258,-16.986,-19.914,-13.851,70.09,76.15,1611,1423
1524,-0.324585,0.049438,1.133057,1.179668,-29.724121,-35.339355,57.006836,2.498,15.971,2.604,14.302,-20.098,-18.136,-1.506,-14.679,-16.958,-13.228,73.04,76.77,1594,1427
1570,-0.122803,0.116821,1.015625,1.029671,-31.982422,-29.968262,64.880371,6.562,6.850,2.290,12.983,-26.619,-22.541,-0.778,-12.821,-14.173,-12.323,75.83,77.68,1579,1432
1618,-0.236694,-0.148682,1.120728,1.155059,-46.936035,8.361816,67.749023,-7.557,11.825,1.356,11.948,-33.253,-11.261,0.648,-12.359,-12.109,-12.614,77.89,77.39,1567,1430
1665,-0.049316,-0.008789,0.931885,0.933230,-33.508301,39.367676,67.443848,-0.540,3.029,0.008,11.309,-34.071,10.332,2.037,-12.865,-10.817,-14.499,79.18,75.50,1560,1419
1724,-0.281006,-0.224854,1.049194,1.109203,-27.099609,-26.672363,62.927246,-12.096,14.675,-1.252,11.536,-29.900,-6.046,3.640,-12.401,-9.382,-15.621,80.62,74.38,1552,1413
1770,-0.148804,-0.306519,0.761963,0.834676,-20.324707,-16.845703,50.598145,-21.914,10.269,-2.976,11.087,-25.654,-14.533,8.721,-11.040,-3.466,-19.068,86.08,70.93,1522,1394
1823,-0.265137,-0.199829,1.083374,1.133106,-4.211426,-23.803711,38.024902,-10.451,13.532,-3.667,10.341,-20.781,-16.720,5.347,-10.370,-4.323,-17.225,85.68,72.78,1524,1404
1866,-0.185059,-0.200439,0.948486,0.986939,-1.647949,-28.015137,27.648926,-11.933,10.807,-4.392,9.784,-10.936,-22.835,5.328,-9.284,-4.065,-15.028,85.94,74.97,1523,1417
1924,-0.182983,-0.116699,0.917358,0.942681,13.366699,-2.685547,6.835937,-7.250,11.193,-4.368,9.180,4.728,-8.646,4.378,-9.471,-4.863,-13.974,85.14,76.03,1527,1422
1970,-0.138672,-0.107910,0.934204,0.950585,18.676758,-26.916504,0.549316,-6.589,8.388,-4.088,8.785,10.395,-15.351,3.730,-8.634,-4.927,-12.804,85.07,77.20,1527,1429
2019,-0.089600,-0.052246,0.938965,0.944676,20.812988,-11.840820,-6.591797,-3.185,5.443,-3.265,7.911,16.946,-15.079,2.432,-7.689,-5.175,-10.569,84.83,79.43,1529,1441
2066,-0.097168,-0.029663,0.907471,0.913140,16.784668,13.122559,-5.554199,-1.872,6.108,-2.290,7.622,18.503,1.805,1.265,-8.298,-6.709,-9.684,83.29,80.32,1537,1446
2114,-0.096558,-0.035156,0.872070,0.878104,19.897461,-7.080078,-5.981445,-2.309,6.313,-1.340,7.574,19.380,-1.715,0.168,-8.120,-7.799,-8.536,82.20,81.46,1543,1453
2171,-0.101807,-0.027710,0.963989,0.969746,12.207031,-3.540039,-8.361816,-1.647,6.026,-0.595,7.258,15.033,-5.676,-0.391,-7.535,-7.932,-7.293,82.07,82.71,1544,1459
2219,-0.107910,0.003052,0.992920,0.998771,10.742188,13.854980,-9.216309,0.176,6.203,-0.010,6.930,12.991,-0.687,-0.772,-7.472,-8.141,-6.669,81.86,83.33,1545,1463
2267,-0.120728,-0.023682,0.960327,0.968176,20.507812,-22.888184,-5.737305,-1.413,7.163,0.634,6.674,16.028,-9.354,-1.501,-6.672,-8.227,-5.540,81.77,84.46,1546,1469
2314,-0.093872,0.025879,1.088989,1.093334,30.761719,-62.133789,2.319336,1.361,4.925,1.558,5.435,23.883,-37.009,-2.988,-3.650,-7.009,-1.614,82.99,88.39,1539,1491
2372,-0.032227,0.016113,1.092529,1.093123,37.536621,-4.211426,1.220703,0.845,1.689,2.845,3.365,32.840,-25.426,-4.941,-2.068,-6.778,2.428,83.22,92.43,1538,1513
