ms,ax_g,ay_g,az_g,a_norm_g,gx_dps,gy_dps,gz_dps,roll_acc_deg,pitch_acc_deg,roll_cf_deg,pitch_cf_deg,p_filt_dps,q_filt_dps,u_roll_deg,u_pitch_deg,left_cmd_deg,right_cmd_deg,left_servo_deg,right_servo_deg,left_pwm,right_pwm
14,0.376953,0.688232,0.238647,0.820189,11.413574,88.684082,166.748047,70.876,-27.361,70.612,-16.940,0.177,16.821,-60.000,24.967,-19.268,33.000,87.60,92.40,1513,1487
73,0.543579,0.443115,0.446777,0.831528,12.023926,122.436523,163.696289,44.764,-40.822,68.842,-20.458,-2.161,67.804,-58.360,32.784,-32.126,58.893,74.91,105.09,1584,1416
124,0.871948,0.809692,0.281006,1.222645,-5.981445,115.051270,152.648926,70.861,-45.493,65.428,-25.784,-7.122,84.752,-60.000,23.169,-32.973,59.899,61.20,118.80,1660,1340
168,0.662476,0.713989,0.304810,1.020570,-24.047852,156.005859,144.775391,66.882,-40.476,62.283,-29.217,-19.862,101.794,-60.000,33.973,-29.597,59.991,57.93,128.40,1678,1287
216,0.628540,0.462524,0.496460,0.924913,-29.968262,245.666504,136.047363,42.973,-42.810,54.924,-32.339,-32.137,158.022,-50.325,33.010,-18.668,59.999,69.93,140.40,1611,1220
264,0.676392,0.491333,0.501221,0.974749,-24.536133,196.899414,122.802734,44.429,-43.941,46.410,-32.891,-32.556,179.946,-47.562,33.039,-16.004,60.000,74.00,150.00,1589,1167
320,0.456421,0.262939,0.821777,0.976102,-24.780273,81.665039,97.473145,17.743,-27.878,36.808,-30.888,-32.880,108.478,-31.814,26.324,-8.127,58.790,79.99,148.79,1556,1173
368,0.530151,0.232910,0.739136,0.938951,-11.535645,-31.372070,67.687988,17.490,-34.376,30.577,-30.437,-29.504,41.943,-25.377,32.766,4.136,56.733,90.27,146.73,1498,1185
416,0.574951,0.230835,0.865479,1.064381,-22.949219,-128.051758,47.851562,14.934,-32.696,26.691,-32.126,-29.631,-43.504,-22.167,38.010,13.082,59.695,98.91,149.69,1451,1168
464,0.690552,0.111816,0.855347,1.104981,-9.033203,-114.746094,30.639648,7.448,-38.678,23.889,-36.720,-28.538,-87.416,-14.919,46.575,29.675,59.972,110.91,149.97,1384,1167
521,0.683716,0.051636,0.820068,1.068946,-20.202637,-112.426758,16.357422,3.603,-39.763,21.266,-41.436,-29.503,-94.392,-10.854,50.043,39.256,59.999,123.15,150.00,1316,1167
574,0.760864,0.115845,0.759521,1.081299,-8.850098,-116.943359,11.901855,8.672,-44.721,20.595,-47.308,-27.293,-102.043,-12.420,56.133,41.707,59.999,131.71,150.00,1268,1167
617,0.806274,0.071655,0.731934,1.091302,-11.657715,4.028320,13.122559,5.591,-47.631,19.732,-50.909,-25.368,-64.072,-9.929,57.306,46.808,60.000,136.81,150.00,1240,1167
664,0.838989,0.010254,0.623901,1.045591,-13.488770,82.946777,13.061523,0.942,-53.361,17.782,-52.345,-25.880,1.798,-5.823,58.090,51.129,60.000,141.13,150.00,1216,1167
724,0.654785,0.087280,0.933105,1.143262,-7.141113,192.810059,14.953613,5.344,-34.941,13.840,-48.049,-23.021,109.177,-9.476,39.680,32.938,50.652,130.64,141.87,1274,1212
769,0.603638,0.041138,0.748291,0.962294,6.896973,234.680176,-1.953125,3.147,-38.850,11.091,-42.084,-16.024,172.133,-6.473,33.975,28.699,42.086,121.04,134.85,1328,1251
817,0.402344,0.190186,0.926514,1.027851,-28.625488,216.918945,-9.887695,11.600,-23.044,9.122,-31.946,-28.671,202.979,-8.763,20.724,14.080,32.239,109.04,125.69,1394,1302
