V_mps,alpha_deg,gamma_deg,theta_deg,wing_collective_deg,wing_R_incidence_deg,wing_L_incidence_deg,tail_curl_delta_deg,tail_curl_total_deg,R_lift,R_drag,R_Cm,residual_norm,Cm_y,dCm_dalpha,CL,CD,LD,L_over_W,D_over_W,vlm_converged,vlm_solver_err,exitflag,trim_residual_ok,pass_speed_point
6,4.78737775946804,14.6626461674137,-9.87526840794565,1.33762205781981,1.33762205781981,1.33762205781981,59.9802723385898,59.9802723385898,4.57862590744499e-06,2.38320354423256e-06,9.82671303035332e-08,5.16266702029747e-06,9.82671303035332e-08,-0.0429592739122731,0.548240809923104,0.143446997090726,3.82190510113194,0.967437562652363,0.253129666240492,1,0.00153299021845317,0,1,0
6.25,4.33987600801183,15.1369793401009,-10.7971033320891,1.08203141193396,1.08203141193396,1.08203141193396,59.9078637485332,59.9078637485332,-6.53106900821191e-07,1.11812374740501e-07,-1.7863766724531e-08,6.62849715400829e-07,-1.7863766724531e-08,-0.0423361543289874,0.504144259589855,0.136377841587706,3.6966728151775,0.965303644159513,0.261127693042307,1,0.00148256520823083,1,1,0
6.5,3.92372213817025,15.7209261873505,-11.7972040491803,0.866516338892115,0.866516338892115,0.866516338892115,59.8615085447847,59.8615085447847,4.03018789875744e-07,-1.0037225421768e-06,-2.00071692990231e-08,1.08179636415091e-06,-2.00071692990231e-08,-0.0444917955587769,0.46480095932041,0.130832309190888,3.55264660690389,0.962593253602936,0.270951028940599,1,0.0014437546917656,1,1,0
6.75,3.62670989821184,16.3839239913018,-12.75721409309,0.594820677293711,0.594820677293711,0.594820677293711,59.9505495084168,59.9505495084168,6.77509565578226e-07,-1.82150427617923e-07,-9.04771788038948e-09,7.01626575131125e-07,-9.04771788038948e-09,-0.0475557660567715,0.429576279659506,0.126300043913035,3.40123618607206,0.959393833451057,0.282072099955816,1,0.0014229008743013,1,1,0
7,3.04741464799791,17.0780589563132,-14.0306443083153,0.663107318264185,0.663107318264185,0.663107318264185,58.8603034365004,58.8603034365004,4.22623975847776e-07,1.25106642656064e-06,1.59860902200189e-07,1.33016304890824e-06,1.59860902200189e-07,-0.0394443025639435,0.397988028380333,0.122270759959142,3.25497304926645,0.955905968155752,0.293675540069734,1,0.00140218813409591,1,1,0
7.25,2.0656079163023,17.8015059383152,-15.7358980220129,1.19055635109187,1.19055635109187,1.19055635109187,56.3149499218013,56.3149499218013,-2.93211309007726e-06,-6.18214579056229e-06,3.99653834046774e-07,6.85389939639018e-06,3.99653834046774e-07,-0.0250623671954384,0.369543758948449,0.118656201178947,3.11440746692315,0.952118425532577,0.305714148082625,1,0.00136497660724779,1,1,0
7.5,2.68509212866371,18.9724300872569,-16.2873379585932,0.155086707023735,0.155086707023735,0.155086707023735,59.3855375504176,59.3855375504176,-0.000996787720208538,-0.00149976460567471,-0.000193365752681251,0.00181115155243926,-0.000193365752681251,-0.0319562820857058,0.342619711570893,0.117369393662507,2.91915720853162,0.944678337167691,0.323613382111366,1,0.00198374071113263,0,1,0
7.75,2.43613070781913,19.972861421572,-17.5367307137529,0.0508841603958246,0.0508841603958246,0.0508841603958246,59.7457961496626,59.7457961496626,3.37944560008401e-07,-4.32787506676094e-07,-3.577906995689e-08,5.50265111942563e-07,-3.577906995689e-08,-0.0596737923318964,0.319233382107296,0.116020051268077,2.75153629582245,0.939854853736114,0.341574579685922,1,0.00189699353401962,1,1,0
8,2.13799041181597,20.9531976963247,-18.8152072845087,0.0354041664873854,0.0354041664873854,0.0354041664873854,58.703267197754,58.703267197754,3.31985743289295e-06,-2.47724080776361e-06,-6.87683286589545e-08,4.14281359433543e-06,-6.87683286589545e-08,-0.105641055112036,0.297687250351478,0.113991323427689,2.61149043102668,0.933876169255257,0.357602753645975,1,0.00176701599451143,1,1,0
8.25,1.86001064977656,21.9108552281081,-20.0508445783315,0.0379201109904415,0.0379201109904415,0.0379201109904415,57.2167041678615,57.2167041678615,7.52705710455037e-06,1.07967274953912e-05,-2.60335079616673e-07,1.316410603188e-05,-2.60335079616673e-07,-0.163851905772169,0.27808962976025,0.111854848775652,2.48616517570925,0.927773098235978,0.373174359974415,1,0.00160355032859343,1,1,0
