V_mps,alpha_deg,gamma_deg,theta_deg,wing_collective_deg,wing_R_incidence_deg,wing_L_incidence_deg,tail_curl_delta_deg,tail_curl_total_deg,R_lift,R_drag,R_Cm,residual_norm,Cm_y,dCm_dalpha,CL,CD,LD,L_over_W,D_over_W,vlm_converged,vlm_solver_err,exitflag,trim_residual_ok,pass_speed_point
6,6.08332191297579,15.0652919335466,-8.98197002057078,0.0255503555445671,0.0255503555445671,0.0255503555445671,50.2991132169313,50.2991132169313,1.64902363168223e-05,4.67547405610561e-06,1.55200094030915e-06,1.72103648523988e-05,1.55200094030915e-06,-0.0660280211658094,0.547225967484604,0.1472974632825,3.71510788638014,0.965646749788001,0.259924281964498,1,0.00153299894359295,1,1,0
6.25,5.37157791900238,15.4528155683212,-10.0812376493188,0.0385189746552541,0.0385189746552541,0.0385189746552541,48.9219526368867,48.9219526368867,2.10505505127241e-05,-2.12738390479661e-05,-1.79584448679049e-06,2.99821107020212e-05,-1.79584448679049e-06,-0.0633657642227826,0.503396172469225,0.139143624193016,3.61781702459416,0.963871254104571,0.266423439204391,1,0.00148143630372276,1,1,0
6.5,4.70180511226993,15.9477471883131,-11.2459420760432,0.0802489637274348,0.0802489637274348,0.0802489637274348,47.7012553678369,47.7012553678369,1.71133896581873e-05,-6.93627878489474e-05,-6.93895477829623e-07,7.14461051052133e-05,-6.93895477829623e-07,-0.0641325894934897,0.464287449982257,0.132638311951245,3.50040228311198,0.961529786295787,0.274691223615862,1,0.00144367440973542,1,1,0
6.75,4.21468317158872,16.5307778049946,-12.3160946334059,0.00125055645767702,0.00125055645767702,0.00125055645767702,46.9056882957548,46.9056882957548,-5.58267783305779e-05,4.26289618959428e-05,-1.1058278838978e-06,7.02501275899627e-05,-1.1058278838978e-06,-0.0660497198652637,0.429225851090374,0.127419835565436,3.36859523625696,0.958611204092292,0.284572985728455,1,0.00142253516205549,1,1,0
7,3.70469925331397,17.2130632567886,-13.5083640034747,0.00109126237236623,0.00109126237236623,0.00109126237236623,46.0406987921263,46.0406987921263,-1.84281549880784e-05,3.85190592444522e-05,2.42212561393585e-06,4.2768931642396e-05,2.42212561393585e-06,-0.0617579112476946,0.397690973736644,0.123223702721403,3.22739022569208,0.95519248863747,0.295964361865364,1,0.00140207669082344,1,1,0
7.25,3.24795009397401,18.056800540652,-14.808850446678,-2.38843625517404e-05,-2.38843625517404e-05,-2.38843625517404e-05,45.3767903736495,45.3767903736495,1.75081463533096e-05,-5.94866948674242e-05,3.54781210464197e-07,6.20107081453376e-05,3.54781210464197e-07,-0.0508078402324488,0.369019314902502,0.12028092164245,3.06797877721172,0.95076721115751,0.309900191689591,1,0.0013653415621672,1,1,0
7.5,2.84535611289856,18.993795540124,-16.1484394272254,-3.03067131568469e-06,-3.03067131568469e-06,-3.03067131568469e-06,44.8173144440544,44.8173144440544,6.03402716068692e-05,-3.46916238753449e-05,-1.2430836225554e-06,6.96132343853653e-05,-1.2430836225554e-06,-0.0536022673091629,0.342959121539636,0.118028640823737,2.90572795845212,0.945614165533842,0.325431072369752,1,0.00198452390791444,1,1,0
7.75,2.48657092361068,19.9905526580037,-17.503981734393,-3.58637360164948e-06,-3.58637360164948e-06,-3.58637360164948e-06,44.1985238278633,44.1985238278633,1.59277900546358e-05,-0.00010334666001303,9.97303735036242e-07,0.000104571608224285,9.97303735036242e-07,-0.0809048105481907,0.319202838580672,0.116083659519548,2.74976547002225,0.939764930553401,0.341761848709882,1,0.00189688342531668,1,1,0
8,2.17344012786481,20.9615090846689,-18.7880689568041,-3.39498280155226e-06,-3.39498280155226e-06,-3.39498280155226e-06,43.271270087768,43.271270087768,6.46643577570471e-05,-6.59681749635517e-07,3.87998620856375e-07,6.46688865457878e-05,3.87998620856375e-07,-0.126643729959587,0.297690265892721,0.114035084286918,2.61051471794168,0.933885629324846,0.357740036057406,1,0.001767032447236,1,1,0
8.25,1.89746710807792,21.9187784461622,-20.0213113380843,-4.3697425269329e-06,-4.3697425269329e-06,-4.3697425269329e-06,42.1148667224333,42.1148667224333,-5.76845606404247e-05,8.3091771776196e-06,-1.01903982446651e-06,5.82888445914976e-05,-1.01903982446651e-06,-0.184745512241769,0.278054613107663,0.11189255774857,2.48501436290759,0.927656274360567,0.373300166070334,1,0.00160325713600107,1,1,0
8.5,1.65355071863013,22.8518017216109,-21.1982510029807,-2.99608701936904e-06,-2.99608701936904e-06,-2.99608701936904e-06,40.7571066901583,40.7571066901583,-1.16316028017038e-05,-5.57216658407233e-05,-1.60122942302843e-06,5.69452558468834e-05,-1.60122942302843e-06,-0.24126962658587,0.260200887878213,0.109640957178399,2.37320883157591,0.921500786311124,0.388293172539396,1,0.00141160678306521,1,1,0
8.75,1.43800348425433,23.7631726302197,-22.3251691459654,-3.22277896458445e-06,-3.22277896458445e-06,-3.22277896458445e-06,39.3106366577584,39.3106366577584,-2.36059932359165e-05,-1.22899089507721e-05,7.64663153358981e-07,2.66246030657831e-05,7.64663153358981e-07,-0.299398613380009,0.243864491990747,0.107369366723822,2.27126693052052,0.915195255149637,0.402944824693017,1,0.00195465076846223,1,1,0
9,1.24359199911568,24.6289657457294,-23.3853737466137,-3.23944267321963e-06,-3.23944267321963e-06,-3.23944267321963e-06,37.6881196537544,37.6881196537544,-3.4061142816256e-05,-2.9904838327784e-05,-3.07558373944591e-06,4.54303865347702e-05,-3.07558373944591e-06,-0.353727671291406,0.228942125290707,0.10495432417554,2.18135009766527,0.908991481953355,0.416710496369319,1,0.00177332285327552,1,1,0
9.25,1.06686031632274,25.4908277660092,-24.4239674496865,-3.08364104029124e-06,-3.08364104029124e-06,-3.08364104029124e-06,36.079553109729,36.079553109729,-7.4500581746329e-05,-1.49924364660283e-05,3.2089311789584e-07,7.59948209032856e-05,3.2089311789584e-07,-0.392718604848274,0.215205321973096,0.102610281697628,2.09730758372988,0.902579690865281,0.430351607874378,1,0.00151662179109718,1,1,0
9.5,0.90717061853894,26.3360416058769,-25.4288709873379,-3.25039471960054e-06,-3.25039471960054e-06,-3.25039471960054e-06,34.4606365848177,34.4606365848177,5.20527653918188e-05,2.10037606507591e-05,1.31132541232022e-06,5.6145951953343e-05,1.31132541232022e-06,-0.438297481235143,0.202599105042333,0.100288260907354,2.02016769669077,0.89625959421863,0.443656036915543,1,0.00140773104594854,1,1,0
9.75,0.761050817738695,27.2122439132988,-26.4511930955601,-2.96737842475636e-06,-2.96737842475636e-06,-2.96737842475636e-06,32.9621570551578,32.9621570551578,-1.76338356342887e-05,3.26812236765138e-05,1.17026665012475e-07,3.71352694269445e-05,1.17026665012475e-07,-0.472575897479852,0.190849261476948,0.0981437184882119,1.94458967335613,0.889301038875198,0.457320663099259,1,0.00197963251700186,1,1,0
10,0.627427717117516,28.0109231147592,-27.3834953976417,-2.87531172560307e-06,-2.87531172560307e-06,-2.87531172560307e-06,31.3002369913388,31.3002369913388,-1.94323315791903e-05,2.71195393073057e-05,9.77167806940249e-07,3.33772344535465e-05,9.77167806940249e-07,-0.497947402893781,0.180107687326472,0.0958166460025233,1.87971187513419,0.882838642396917,0.469667002733541,1,0.00179591127046927,1,1,0
