ms,control_dt_us,control_exec_us,esekf_us,missed,log_dropped,ax,ay,az,gx,gy,gz,roll_deg,pitch_deg,yaw_deg,vn,ve,vu,pn,pe,pu,bgx,bgy,bgz,bax,bay,baz,s_roll,s_pitch,u_diff_deg,u_sym_deg,u_tail_deg,left_inc_deg,right_inc_deg,b00,b01,b10,b11,left_deg,right_deg,morph_deg,tail_deg,left_pwm,right_pwm,morph_pwm,tail_pwm,gps_fix,gps_sats,gps_lat_deg,gps_lon_deg,gps_alt_m,gps_vn,gps_ve,gps_vd
31,12500,17889,14911,0,0,-0.31125,-1.38624,9.84017,-0.004261,-0.010653,-0.010653,-8.016,1.791,-0.002,-0.0000,-0.0000,0.0017,-0.0000,-0.0000,0.0000,-0.0035086,-0.0106742,-0.0109509,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
85,29423,18208,15157,0,0,-0.30167,-1.39103,9.83538,-0.003196,-0.010653,-0.010653,-8.027,1.767,0.002,0.0001,-0.0001,0.0088,0.0000,-0.0000,0.0003,-0.0034980,-0.0106587,-0.0109509,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
134,24818,18100,15100,0,0,-0.30646,-1.38744,9.83658,-0.004261,-0.010653,-0.010653,-8.028,1.763,0.003,0.0001,-0.0001,0.0155,0.0000,-0.0000,0.0009,-0.0034970,-0.0106526,-0.0109509,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,1,9,40.4365638,-86.8937053,157.100,0.082,0.000,0.000
196,18690,18089,15083,0,0,-0.30646,-1.38983,9.83538,-0.003196,-0.010653,-0.010653,-8.031,1.767,0.004,0.0001,-0.0001,0.0238,0.0000,-0.0000,0.0021,-0.0034807,-0.0106695,-0.0109509,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,1,9,40.4365638,-86.8937053,157.100,0.082,0.000,0.000
253,29730,20322,15288,0,0,-0.30406,-1.39462,9.84376,-0.004261,-0.010653,-0.010653,-8.039,1.765,0.005,0.0001,-0.0001,0.0313,0.0000,0.0000,0.0036,-0.0034203,-0.0106471,-0.0109509,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,1,9,40.4365640,-86.8937127,156.400,0.149,0.000,0.000
283,26301,24407,21410,0,0,-0.30765,-1.39702,9.84735,-0.003196,-0.010653,-0.011718,-8.042,1.765,0.004,0.0001,-0.0001,0.0351,0.0000,0.0000,0.0045,-0.0033769,-0.0106557,-0.0109509,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,1,9,40.4365640,-86.8937127,156.400,0.149,0.000,0.000
334,25115,18159,15151,0,0,-0.30406,-1.38864,9.84137,-0.003196,-0.010653,-0.010653,-8.041,1.763,0.005,0.0002,-0.0001,0.0430,0.0000,0.0000,0.0067,-0.0033848,-0.0105978,-0.0109509,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,1,9,40.4365642,-86.8937202,155.800,0.113,0.000,0.000
394,17643,17723,14744,0,0,-0.29688,-1.38744,9.83658,-0.003196,-0.010653,-0.010653,-8.036,1.751,0.008,0.0001,-0.0002,0.0513,-0.0001,-0.0000,0.0096,-0.0034605,-0.0103934,-0.0109508,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,1,9,40.4365642,-86.8937202,155.800,0.113,0.000,0.000
444,31064,18190,15180,0,0,-0.30287,-1.38744,9.83778,-0.003196,-0.010653,-0.010653,-8.031,1.750,0.009,0.0001,-0.0002,0.0579,-0.0000,-0.0001,0.0122,-0.0035348,-0.0103883,-0.0109508,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,1,10,40.4365640,-86.8937292,155.000,0.077,0.000,0.000
498,26473,18137,15129,0,0,-0.29808,-1.39702,9.84256,-0.004261,-0.010653,-0.011718,-8.038,1.747,0.009,0.0002,-0.0002,0.0653,-0.0001,-0.0000,0.0156,-0.0033938,-0.0103343,-0.0109508,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,1,10,40.4365640,-86.8937292,155.000,0.077,0.000,0.000
