ms,control_dt_us,control_exec_us,esekf_us,missed,log_dropped,ax,ay,az,gx,gy,gz,roll_deg,pitch_deg,yaw_deg,vn,ve,vu,pn,pe,pu,bgx,bgy,bgz,bax,bay,baz,s_roll,s_pitch,u_diff_deg,u_sym_deg,u_tail_deg,left_inc_deg,right_inc_deg,b00,b01,b10,b11,left_deg,right_deg,morph_deg,tail_deg,left_pwm,right_pwm,morph_pwm,tail_pwm,gps_fix,gps_sats,gps_lat_deg,gps_lon_deg,gps_alt_m,gps_vn,gps_ve,gps_vd,gps_fix_type,gps_hacc_m,gps_vacc_m,gps_sacc_mps,gps_origin_set,gps_itow_ms
1520,1501628,17448,14419,0,0,-0.26695,0.88585,9.86052,-0.024501,-0.009587,-0.013848,5.103,1.518,0.018,-0.0001,0.0001,0.0012,-0.0000,0.0000,0.0000,0.0019093,-0.0170987,-0.0146750,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2475,1500,1,15,40.4364915,-86.8937391,161.464,-0.030,0.030,-0.020,3,0.98,1.60,0.10,0,58394800
1585,18524,18669,15665,0,0,-0.21428,0.90381,9.84496,0.034088,-0.027697,-0.011718,5.214,1.411,0.009,-0.0003,-0.0000,0.0073,-0.0000,0.0000,0.0003,0.0018983,-0.0170237,-0.0146750,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2475,1500,1,15,40.4364915,-86.8937391,161.464,-0.030,0.030,-0.020,3,0.98,1.60,0.10,0,58394800
1635,31051,18095,15085,0,0,-0.24181,0.92057,9.84376,0.043676,-0.026632,0.005326,5.293,1.383,0.041,-0.0003,0.0002,0.0124,-0.0000,0.0000,0.0008,0.0019362,-0.0170338,-0.0146750,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2475,1500,1,15,40.4364932,-86.8937368,161.029,0.130,0.070,0.010,3,0.91,1.53,0.19,0,58394800
1684,30379,18099,15082,0,0,-0.20111,0.97085,9.84017,0.028762,-0.025566,-0.021305,5.436,1.321,0.017,-0.0002,0.0003,0.0172,-0.0001,-0.0001,0.0015,0.0016545,-0.0168534,-0.0146747,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2475,1500,1,15,40.4364932,-86.8937368,161.029,0.130,0.070,0.010,3,0.91,1.53,0.19,0,58394800
1733,30836,18105,15088,0,0,-0.21668,0.95888,9.85453,0.001065,-0.015979,-0.014914,5.474,1.296,0.011,-0.0002,0.0003,0.0220,-0.0002,-0.0001,0.0025,0.0014825,-0.0166984,-0.0146743,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2475,1500,1,15,40.4364932,-86.8937368,161.029,0.130,0.070,0.010,3,0.91,1.53,0.19,0,58394800
1786,19419,18085,15057,0,0,-0.23343,0.96845,9.84735,0.010653,-0.019175,-0.013848,5.512,1.324,0.021,-0.0006,0.0003,0.0274,-0.0001,-0.0002,0.0038,0.0012518,-0.0170413,-0.0146751,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2475,1500,1,15,40.4364932,-86.8937368,161.029,0.130,0.070,0.010,3,0.91,1.53,0.19,0,58394800
1836,26719,18192,14809,0,0,-0.22984,0.95768,9.85932,-0.001065,-0.015979,-0.013848,5.529,1.321,0.023,-0.0006,0.0003,0.0324,-0.0001,-0.0002,0.0053,0.0010719,-0.0169794,-0.0146751,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2475,1500,1,14,40.4364933,-86.8937369,161.037,0.039,-0.039,-0.009,3,0.91,1.53,0.14,0,58397000
1886,31112,18073,15057,0,0,-0.23942,0.97564,9.86052,-0.003196,-0.015979,-0.013848,5.542,1.330,0.026,-0.0007,0.0003,0.0374,-0.0001,-0.0003,0.0070,0.0006909,-0.0170869,-0.0146752,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2475,1500,1,14,40.4364933,-86.8937369,161.037,0.040,-0.040,-0.010,3,0.91,1.53,0.13,0,58397000
1935,30731,18109,15101,0,0,-0.22984,0.95648,9.85334,-0.005326,-0.014914,-0.013848,5.531,1.328,0.028,-0.0008,0.0003,0.0422,-0.0002,-0.0004,0.0090,0.0006010,-0.0169670,-0.0146752,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2475,1500,1,14,40.4364933,-86.8937369,161.037,0.040,-0.040,-0.010,3,0.91,1.53,0.13,0,58397000
1976,40480,18404,15393,0,0,-0.22745,0.95170,9.84855,0.006392,-0.018109,-0.015979,5.542,1.325,0.025,-0.0008,0.0003,0.0459,-0.0003,-0.0003,0.0108,0.0006473,-0.0169511,-0.0146752,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2475,1500,1,14,40.4364933,-86.8937369,161.037,0.040,-0.040,-0.010,3,0.91,1.53,0.13,0,58397000
