ms,control_dt_us,control_exec_us,esekf_us,missed,log_dropped,ax,ay,az,gx,gy,gz,roll_deg,pitch_deg,yaw_deg,vn,ve,vu,pn,pe,pu,bgx,bgy,bgz,bax,bay,baz,s_roll,s_pitch,u_diff_deg,u_sym_deg,u_tail_deg,left_inc_deg,right_inc_deg,b00,b01,b10,b11,left_deg,right_deg,morph_deg,tail_deg,left_pwm,right_pwm,morph_pwm,tail_pwm,gps_fix,gps_sats,gps_lat_deg,gps_lon_deg,gps_alt_m,gps_vn,gps_ve,gps_vd,gps_fix_type,gps_hacc_m,gps_vacc_m,gps_sacc_mps,gps_origin_set,gps_itow_ms
1517,1501150,15229,12074,0,0,10.20169,-2.49596,2.75333,0.284426,-0.568851,0.394148,-51.094,-75.498,1.969,-0.0127,0.0068,0.0124,-0.0001,0.0000,0.0001,-0.0894439,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2475,1500,1,8,40.4364958,-86.8935781,174.988,0.016,-0.003,-0.058,3,8.97,11.46,0.43,0,59514900
1576,34039,15812,12321,0,0,8.47547,-2.50314,2.28886,0.360059,0.301470,0.527306,-53.160,-74.068,5.566,-0.0680,0.0240,-0.0170,-0.0024,0.0010,0.0002,-0.0894439,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2475,1500,1,8,40.4364958,-86.8935781,174.988,0.016,-0.003,-0.058,3,8.97,11.46,0.43,0,59514900
1624,32178,15885,12773,0,0,9.39485,-2.60369,2.82995,0.333428,0.407996,0.543285,-52.861,-72.414,6.458,-0.1095,0.0511,-0.0081,-0.0067,0.0028,-0.0005,-0.0894439,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2475,1500,1,8,40.4364958,-86.8935781,174.988,0.016,-0.003,-0.058,3,8.97,11.46,0.43,0,59514900
1672,26601,16057,12945,0,0,8.13909,-2.54504,2.77608,0.307861,0.421845,0.608266,-52.442,-70.514,7.139,-0.1542,0.0782,-0.0570,-0.0131,0.0059,-0.0022,-0.0894439,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2475,1500,1,8,40.4364958,-86.8935781,174.988,0.016,-0.003,-0.058,3,8.97,11.46,0.43,0,59514900
1722,27896,15821,12703,0,0,10.31542,-3.56616,3.79720,0.282295,0.215183,0.612527,-52.785,-68.725,8.654,-0.2080,0.1132,-0.0033,-0.0220,0.0106,-0.0041,-0.0894439,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2475,1500,1,13,40.4365033,-86.8936519,167.655,0.050,-0.230,0.010,3,2.72,4.41,0.34,0,59517000
1783,15886,15668,12580,0,0,9.27155,-3.66073,3.56377,0.301470,0.017044,0.560329,-54.051,-66.915,11.431,-0.2731,0.1415,0.0474,-0.0367,0.0184,-0.0025,-0.0894439,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2475,1500,1,13,40.4365033,-86.8936519,167.655,0.050,-0.230,0.010,3,2.72,4.41,0.34,0,59517000
1829,30623,15836,12737,0,0,9.55167,-3.78643,3.50152,0.308927,-0.231162,0.535828,-55.955,-66.062,14.655,-0.3190,0.1679,0.1034,-0.0504,0.0256,0.0011,-0.0894439,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2475,1500,1,13,40.4365033,-86.8936519,167.655,0.050,-0.230,0.010,3,2.72,4.41,0.34,0,59517000
1878,33065,15397,12311,0,0,8.44794,-3.73735,2.98437,0.358994,-0.415453,0.499609,-58.527,-65.464,18.817,-0.3640,0.1827,0.0981,-0.0672,0.0342,0.0061,-0.0894439,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2475,1500,1,13,40.4365022,-86.8936530,167.297,0.170,-0.080,0.060,3,2.65,4.30,0.31,0,59517200
1926,32133,15917,12802,0,0,9.42837,-4.24133,2.99634,0.392017,-0.379234,0.472977,-60.622,-64.874,22.559,-0.4078,0.1916,0.1348,-0.0857,0.0431,0.0116,-0.0894439,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2475,1500,1,13,40.4365022,-86.8936530,167.297,0.170,-0.080,0.060,3,2.65,4.30,0.31,0,59517200
1979,28423,15302,12233,0,0,9.15184,-4.66630,2.94726,0.497478,-0.292948,0.426106,-61.963,-64.171,25.978,-0.4612,0.1893,0.1782,-0.1088,0.0532,0.0199,-0.0894439,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2475,1500,1,13,40.4365022,-86.8936530,167.297,0.170,-0.080,0.060,3,2.65,4.30,0.31,0,59517200
