ms,control_dt_us,control_exec_us,esekf_us,missed,log_dropped,ax,ay,az,gx,gy,gz,roll_deg,pitch_deg,yaw_deg,vn,ve,vu,pn,pe,pu,bgx,bgy,bgz,bax,bay,baz,s_roll,s_pitch,u_diff_deg,u_sym_deg,u_tail_deg,left_inc_deg,right_inc_deg,b00,b01,b10,b11,left_deg,right_deg,morph_deg,tail_deg,left_pwm,right_pwm,morph_pwm,tail_pwm,gps_fix,gps_sats,gps_lat_deg,gps_lon_deg,gps_alt_m,gps_vn,gps_ve,gps_vd,gps_fix_type,gps_hacc_m,gps_vacc_m,gps_sacc_mps,gps_origin_set,gps_itow_ms
519,501221,17361,14367,0,0,0.46926,3.10289,9.40083,-0.005326,-0.010653,-0.011718,18.269,-2.722,0.013,-0.0000,-0.0000,0.0013,-0.0000,-0.0000,0.0000,-0.0051362,-0.0114331,-0.0117285,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2474,1500,0,,,,,,,,0,,,,0,
573,35935,18101,15103,0,0,0.48123,3.10049,9.41280,-0.005326,-0.011718,-0.011718,18.243,-2.745,0.005,0.0001,-0.0001,0.0074,0.0000,-0.0000,0.0002,-0.0051260,-0.0114154,-0.0117285,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2473,1500,0,,,,,,,,0,,,,0,
622,30404,17914,14898,0,0,0.48243,3.09810,9.40682,-0.005326,-0.011718,-0.011718,18.235,-2.752,0.003,0.0002,-0.0001,0.0127,0.0000,-0.0000,0.0007,-0.0051134,-0.0113951,-0.0117285,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2471,1500,0,,,,,,,,0,,,,0,
682,18211,17899,14899,0,0,0.47285,3.10289,9.40682,-0.004261,-0.011718,-0.012783,18.239,-2.745,0.005,0.0002,-0.0001,0.0194,0.0000,-0.0000,0.0017,-0.0051232,-0.0114283,-0.0117285,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2470,1500,0,,,,,,,,0,,,,0,
730,29324,18055,15043,0,0,0.48004,3.09929,9.40562,-0.005326,-0.010653,-0.011718,18.236,-2.751,0.003,0.0003,-0.0001,0.0246,0.0000,-0.0000,0.0028,-0.0050939,-0.0113689,-0.0117285,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2467,1500,0,,,,,,,,0,,,,0,
778,29451,17956,14677,0,0,0.46448,3.10289,9.40802,-0.005326,-0.010653,-0.011718,18.232,-2.747,0.004,0.0001,-0.0000,0.0298,0.0000,-0.0000,0.0040,-0.0050644,-0.0114034,-0.0117285,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2466,1500,0,,,,,,,,0,,,,0,
819,23877,17568,14560,0,0,0.49081,3.10169,9.40921,-0.005326,-0.011718,-0.012783,18.230,-2.751,0.001,0.0002,-0.0000,0.0345,0.0000,0.0000,0.0054,-0.0050503,-0.0113298,-0.0117285,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2465,1500,0,,,,,,,,0,,,,0,
871,33469,18109,15103,0,0,0.47046,3.09570,9.40802,-0.005326,-0.011718,-0.011718,18.231,-2.749,0.002,0.0002,-0.0001,0.0401,0.0001,-0.0000,0.0073,-0.0050617,-0.0113858,-0.0117285,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2463,1500,0,,,,,,,,0,,,,0,
937,17686,17964,14674,0,0,0.46567,3.10648,9.41400,-0.004261,-0.011718,-0.011718,18.234,-2.751,0.001,0.0002,0.0000,0.0475,0.0000,-0.0000,0.0102,-0.0051131,-0.0113340,-0.0117285,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2462,1500,0,,,,,,,,0,,,,0,
978,23172,17858,14605,0,0,0.49081,3.08972,9.40921,-0.005326,-0.010653,-0.011718,18.225,-2.758,-0.001,0.0002,0.0000,0.0520,0.0000,0.0000,0.0123,-0.0049354,-0.0111648,-0.0117285,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2459,1500,0,,,,,,,,0,,,,0,
1044,37904,27310,24291,0,0,0.49081,3.09690,9.40682,-0.005326,-0.011718,-0.011718,18.222,-2.764,-0.003,0.0005,0.0001,0.0580,-0.0000,0.0001,0.0153,-0.0048891,-0.0110568,-0.0117285,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2458,1500,0,,,,,,,,0,,,,0,
1079,33254,29622,26641,0,0,0.46088,3.09451,9.40682,-0.004261,-0.011718,-0.011718,18.222,-2.757,-0.001,0.0003,0.0000,0.0615,0.0001,0.0001,0.0173,-0.0048614,-0.0112566,-0.0117285,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2457,1500,0,,,,,,,,0,,,,0,
1122,24067,17949,14920,0,0,0.48123,3.10289,9.39844,-0.005326,-0.011718,-0.011718,18.226,-2.761,-0.002,0.0003,0.0001,0.0671,0.0001,0.0000,0.0208,-0.0049802,-0.0111528,-0.0117285,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2454,1500,0,,,,,,,,0,,,,0,
1169,29370,18120,15100,0,0,0.47645,3.08972,9.40921,-0.005326,-0.011718,-0.011718,18.222,-2.760,-0.002,0.0003,-0.0000,0.0722,0.0001,0.0001,0.0241,-0.0049150,-0.0112189,-0.0117285,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2453,1500,0,,,,,,,,0,,,,0,
1235,18045,18278,15271,0,0,0.48004,3.10408,9.41161,-0.005326,-0.011718,-0.011718,18.229,-2.762,-0.002,0.0003,-0.0000,0.0794,0.0001,-0.0000,0.0291,-0.0051097,-0.0112205,-0.0117285,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2451,1500,0,,,,,,,,0,,,,0,
1278,24257,17960,14706,0,0,0.47166,3.09690,9.40682,-0.005326,-0.011718,-0.012783,18.226,-2.756,-0.002,0.0003,0.0000,0.0840,0.0002,0.0000,0.0326,-0.0050432,-0.0113551,-0.0117285,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2449,1500,0,,,,,,,,0,,,,0,
