ms,control_dt_us,control_exec_us,esekf_us,missed,log_dropped,ax,ay,az,gx,gy,gz,roll_deg,pitch_deg,yaw_deg,vn,ve,vu,pn,pe,pu,bgx,bgy,bgz,bax,bay,baz,s_roll,s_pitch,u_diff_deg,u_sym_deg,u_tail_deg,left_inc_deg,right_inc_deg,b00,b01,b10,b11,left_deg,right_deg,morph_deg,tail_deg,left_pwm,right_pwm,morph_pwm,tail_pwm,gps_fix,gps_sats,gps_lat_deg,gps_lon_deg,gps_alt_m,gps_vn,gps_ve,gps_vd
30,12511,17271,14336,0,0,1.01634,-0.55665,9.46548,0.007457,-0.002131,0.008522,-3.359,-6.124,-0.003,-0.0000,-0.0000,-0.0034,-0.0000,-0.0000,-0.0000,0.0068206,-0.0036226,0.0094659,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
82,33478,17554,14531,0,0,1.02711,-0.57341,9.45590,0.006392,-0.003196,0.008522,-3.385,-6.150,-0.004,0.0001,-0.0003,-0.0177,0.0000,-0.0000,-0.0006,0.0068552,-0.0036039,0.0094659,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
145,17552,17405,14447,0,0,1.03430,-0.52912,9.51336,0.007457,0.002131,0.008522,-3.379,-6.113,-0.011,0.0004,-0.0000,-0.0352,0.0000,-0.0000,-0.0023,0.0067291,-0.0035424,0.0094660,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
185,22104,17441,14463,0,0,1.00676,-0.58419,9.45590,0.006392,-0.005326,0.009587,-3.379,-6.091,-0.013,0.0005,-0.0002,-0.0463,0.0001,-0.0000,-0.0039,0.0067594,-0.0036435,0.0094660,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
236,31579,19620,14611,0,0,1.00796,-0.53630,9.46428,0.007457,-0.003196,0.008522,-3.405,-6.098,-0.015,0.0004,0.0003,-0.0599,0.0001,0.0000,-0.0065,0.0069017,-0.0035940,0.0094660,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
281,27896,17485,14491,0,0,1.02831,-0.58059,9.46667,0.006392,0.006392,0.008522,-3.399,-6.096,-0.016,0.0005,0.0001,-0.0730,0.0000,0.0000,-0.0097,0.0068475,-0.0034388,0.0094659,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
339,17510,17374,14407,0,0,0.99599,-0.56144,9.46907,0.007457,-0.003196,0.008522,-3.420,-6.076,-0.020,0.0005,0.0002,-0.0892,0.0002,0.0001,-0.0143,0.0071216,-0.0038049,0.0094659,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
384,28005,17527,14527,0,0,1.00916,-0.55186,9.46428,0.007457,-0.002131,0.008522,-3.406,-6.073,-0.023,0.0005,0.0003,-0.1021,0.0002,0.0000,-0.0187,0.0068900,-0.0038302,0.0094659,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
453,21011,24963,14544,0,0,1.00437,-0.56024,9.45590,0.007457,-0.001065,0.008522,-3.429,-6.076,-0.026,0.0005,0.0003,-0.1193,0.0002,0.0002,-0.0255,0.0073312,-0.0037071,0.0094658,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
480,25166,27077,19209,0,0,0.99359,-0.53630,9.45829,0.007457,-0.004261,0.008522,-3.414,-6.070,-0.028,0.0005,0.0004,-0.1263,0.0003,0.0001,-0.0286,0.0070111,-0.0038633,0.0094659,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
