ms,control_dt_us,control_exec_us,esekf_us,missed,log_dropped,ax,ay,az,gx,gy,gz,roll_deg,pitch_deg,yaw_deg,vn,ve,vu,pn,pe,pu,bgx,bgy,bgz,bax,bay,baz,s_roll,s_pitch,u_diff_deg,u_sym_deg,u_tail_deg,left_inc_deg,right_inc_deg,b00,b01,b10,b11,left_deg,right_deg,morph_deg,tail_deg,left_pwm,right_pwm,morph_pwm,tail_pwm,gps_fix,gps_sats,gps_lat_deg,gps_lon_deg,gps_alt_m,gps_vn,gps_ve,gps_vd
29,12508,15489,12440,0,0,-6.63194,-8.71489,6.81150,-0.271642,2.509763,-0.856473,-32.175,4.490,-1.478,-0.0737,-0.0450,0.0136,-0.0005,-0.0003,0.0001,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
79,28314,16043,12989,0,0,-5.79397,-7.54413,4.31315,-0.423975,1.390170,-0.229032,-33.655,8.034,-4.998,-0.3522,-0.2021,-0.0038,-0.0116,-0.0062,0.0010,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
142,18048,17270,14262,0,0,-6.55652,-7.46273,2.77727,-0.582700,1.103614,0.080960,-40.161,25.377,-19.857,-0.4055,-0.3876,-0.0008,-0.0285,-0.0213,0.0052,0.0000131,-0.0050077,0.0001946,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
183,18279,16857,13854,0,0,-5.34266,-7.53575,2.59531,-0.622114,1.688444,0.111853,-43.918,28.584,-24.737,-0.5114,-0.4824,-0.0163,-0.0475,-0.0371,0.0058,0.0000543,-0.0084205,0.0004266,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
236,26114,21314,14511,0,0,-5.99269,-7.39449,1.41018,-0.755273,1.792840,0.265251,-50.837,31.141,-33.428,-0.7151,-0.4656,-0.0351,-0.0816,-0.0497,0.0067,0.0003193,-0.0172831,0.0012522,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
286,25042,18020,14973,0,0,-5.82629,-7.72250,1.96085,-0.853277,1.659682,0.404800,-77.187,32.254,-40.414,-0.4330,0.0207,0.2723,-0.0788,0.0003,0.0524,0.0070013,-0.0218773,0.0007843,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
346,19318,18406,15332,0,0,-6.54575,-7.75841,0.30287,-0.993892,1.660747,0.447411,-85.270,30.634,-49.347,-0.5749,0.2584,0.2776,-0.1249,0.0357,0.0716,0.0091195,-0.0328116,0.0020593,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
395,25223,17839,14766,0,0,-7.06409,-6.49307,-1.97402,-0.869256,0.147006,0.643420,-94.118,30.976,-54.620,-0.5937,0.5030,0.3444,-0.1388,0.0834,0.1027,0.0252194,-0.0574813,0.0015937,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
454,33462,25192,15513,0,0,-6.63792,-7.74165,-0.92177,-0.507066,-0.041545,0.441019,-97.754,28.215,-55.682,-0.7549,0.8665,0.3586,-0.1932,0.1740,0.1297,0.0357051,-0.0750999,0.0033763,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
496,18683,17607,14611,0,0,-6.13634,-7.21612,-1.02711,-0.317449,0.089482,0.169377,-99.264,15.442,-59.020,-1.3784,1.8733,0.2933,-0.3690,0.4261,0.1518,0.0403639,-0.1098222,0.0101501,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
534,17788,37345,29416,0,0,-7.38132,-7.75003,-1.31202,-0.181095,-0.050067,0.092678,-99.521,15.531,-59.098,-1.4232,1.9488,0.2889,-0.3936,0.4599,0.1570,0.0404756,-0.1098429,0.0101410,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
594,35933,23054,15082,0,0,-6.73369,-6.88572,-1.79326,0.105461,0.422910,0.078830,-100.512,16.077,-61.608,-1.5617,2.2160,0.2585,-0.4922,0.6024,0.1791,0.0451813,-0.1110054,0.0094620,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
632,21181,16882,13866,0,0,-7.67461,-7.11198,-1.60531,0.207727,0.300405,0.177899,-101.269,17.752,-62.919,-1.5732,2.2992,0.2589,-0.5310,0.6696,0.1935,0.0548230,-0.1132863,0.0080665,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
684,25663,17369,14320,0,0,-7.18739,-6.49307,-1.81480,0.249272,0.120375,0.174703,-101.886,19.665,-64.171,-1.5758,2.3732,0.2387,-0.5755,0.7480,0.2103,0.0659398,-0.1156543,0.0063565,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
731,27907,17351,14276,0,0,-6.92762,-6.62835,-1.35033,0.200270,-0.047937,0.127832,-101.563,19.882,-64.442,-1.6685,2.5624,0.1899,-0.6526,0.8646,0.2199,0.0652916,-0.1155398,0.0064460,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
789,17919,16644,13670,0,0,-7.29274,-6.75524,-1.06063,0.259925,-0.046872,0.091613,-100.862,19.845,-64.624,-1.8079,2.8375,0.1256,-0.7652,1.0364,0.2282,0.0611932,-0.1151673,0.0068163,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
834,22492,17370,14294,0,0,-7.41963,-6.97910,-1.39223,0.234358,0.151268,0.111853,-100.811,20.260,-65.279,-1.8699,2.9840,0.0985,-0.8376,1.1538,0.2343,0.0650068,-0.1154905,0.0064561,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
879,18269,17290,14260,0,0,-7.28675,-6.83664,-0.93853,0.154463,-0.105461,0.152333,-100.466,20.287,-65.638,-1.9702,3.1911,0.0565,-0.9321,1.3036,0.2366,0.0609202,-0.1152715,0.0068358,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
942,17428,18157,15159,0,0,-6.65109,-6.50505,-0.17238,0.145941,-1.132376,0.183225,-99.830,18.997,-69.765,-1.9731,3.7869,-0.0752,-1.0671,1.6405,0.2266,0.0307415,-0.2220418,0.0040071,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
989,25324,15395,12345,0,0,-4.44484,-6.35062,1.92494,0.303600,-3.606985,0.302535,-96.215,23.075,-65.942,-1.5898,3.7136,-0.0818,-1.0226,1.7142,0.2540,-0.0042607,-0.2926423,-0.0058692,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
1046,32826,18691,14362,0,0,-5.26485,-5.46596,3.83671,0.350472,-4.203534,0.400539,-91.797,25.862,-58.844,-1.2066,3.9064,-0.1936,-1.0027,1.8890,0.2559,-0.0031456,-0.3797366,-0.0112393,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
1083,28525,27315,18930,0,0,-8.91840,-6.83305,4.51307,0.331297,-3.891411,0.737163,-88.390,27.096,-52.434,-1.1919,4.0893,-0.1808,-1.0369,2.0030,0.2505,-0.0031456,-0.3797366,-0.0112393,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
1143,16518,15676,12605,0,0,-9.63307,-7.75602,3.83671,0.161920,2.720685,0.649811,-88.205,30.183,-54.102,-1.1930,4.4945,-0.1558,-1.1224,2.3095,0.2369,-0.0031456,-0.3797366,-0.0112393,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
1182,16623,15673,12584,0,0,-9.95629,-6.14113,1.49039,-0.397344,4.344148,0.619984,-94.641,31.343,-65.742,-1.2163,4.7136,-0.1222,-1.1691,2.4875,0.2317,-0.0031456,-0.3797366,-0.0112393,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,1,7,40.4364448,-86.8936623,172.400,-0.684,0.170,0.000
