ms,control_dt_us,control_exec_us,esekf_us,missed,log_dropped,ax,ay,az,gx,gy,gz,roll_deg,pitch_deg,yaw_deg,vn,ve,vu,pn,pe,pu,bgx,bgy,bgz,bax,bay,baz,s_roll,s_pitch,u_diff_deg,u_sym_deg,u_tail_deg,left_inc_deg,right_inc_deg,b00,b01,b10,b11,left_deg,right_deg,morph_deg,tail_deg,left_pwm,right_pwm,morph_pwm,tail_pwm,gps_fix,gps_sats,gps_lat_deg,gps_lon_deg,gps_alt_m,gps_vn,gps_ve,gps_vd
43,12515,30337,22254,0,0,10.99417,1.20309,3.70144,-0.763795,-0.853277,0.123571,33.950,-56.577,-0.485,0.0366,-0.0137,0.0179,0.0002,-0.0001,0.0001,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
114,37638,32574,29493,0,0,9.53730,-1.60412,3.09810,-0.526241,-0.161920,-0.142745,57.485,-69.253,-29.153,0.0797,-0.3125,0.0294,0.0045,-0.0106,0.0027,0.0000012,0.0012190,-0.0000103,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
153,39069,32074,29025,0,0,10.24838,-1.26773,3.63320,-0.357929,0.305731,-0.225836,56.392,-68.716,-28.895,0.1013,-0.4940,0.0339,0.0079,-0.0264,0.0040,0.0000069,0.0016293,-0.0000209,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
220,38387,28239,25108,0,0,12.78983,-0.07542,1.47962,-0.133158,0.001065,-0.084156,57.213,-68.911,-30.611,0.2011,-0.7365,0.1325,0.0162,-0.0705,0.0087,0.0000232,0.0028000,-0.0000500,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
263,37801,33893,23453,0,0,10.68891,-0.80445,2.13204,-0.035154,-0.343015,-0.036219,61.199,-71.093,-35.588,0.1747,-0.8633,0.1652,0.0166,-0.0995,0.0161,0.0001305,0.0120312,-0.0002194,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
314,27651,22859,14836,0,0,8.54730,0.29209,2.90177,0.074569,-0.220510,-0.123571,66.199,-72.100,-40.860,0.1518,-1.0660,0.1268,0.0231,-0.1591,0.0265,0.0001745,0.0168870,-0.0002762,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
356,18469,17050,13988,0,0,8.73524,1.07619,2.46603,0.112918,-0.629571,-0.095874,70.166,-72.136,-44.590,0.1238,-1.1649,0.0548,0.0318,-0.2118,0.0302,0.0001280,0.0142572,-0.0002758,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
405,31141,17518,14426,0,0,9.75517,0.70988,4.04022,-0.159790,-0.393083,0.122505,73.566,-72.451,-48.310,0.0725,-1.3288,0.0413,0.0391,-0.2735,0.0316,0.0001494,0.0106221,-0.0002082,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
462,26897,24374,13880,0,0,10.14184,0.49680,1.81002,-0.085221,-0.055394,0.561394,75.862,-74.123,-50.454,0.0186,-1.4652,0.0376,0.0365,-0.3434,0.0343,-0.0002094,0.0184448,-0.0003411,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
502,22607,17426,14374,0,0,9.71447,0.23463,2.45885,0.096939,-1.201618,0.681769,81.482,-76.279,-56.294,-0.0215,-1.5792,-0.0110,0.0368,-0.4148,0.0346,-0.0001137,0.0175645,-0.0003311,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
